date,venue,venue_num,race,night,race_type,why_bet,confidence,pred_combo,pred_prob,pred_ev,pred_odds,upset_score,wind_speed,wind_dir,wave,result_combo,payout,hit,profit,n_bets,cost
20260703,平和島,4,10,1,1残り荒れ型,波高3cm|1号艇展示5位(最下位圏)|超荒れ(9.5),0.9808,6-1-4,0.09737,7.4,76.0,9.5,3.0,横,3,2-3-1,2900,0,-1600,3,1600,,,,,,,,
20260703,浜名湖,6,5,1,イン逃げ型,1号艇モーター6位|超荒れ(9.5),0.99,1-6-2,0.15284,5.395,35.3,9.5,3.0,横,2,1-5-4,2730,0,-600,2,600,,,,,,,,
20260703,浜名湖,6,6,1,モンスター型,1号艇勝率低(4.2)|1号艇展示6位(最下位圏)|超荒れ(9.5),0.8118,1-6-2,0.11923,1.812,15.2,9.5,4.0,横,2,5-1-6,3020,0,-300,1,300,,,,,,,,
20260703,浜名湖,6,7,1,1残り荒れ型,1号艇勝率低(4.0)|超荒れ(9.5),0.8708,1-6-4,0.06594,4.036,61.2,9.5,4.0,横,2,1-2-3,1100,0,-600,2,600,,,,,,,,
20260703,浜名湖,6,8,1,1残り荒れ型,1号艇勝率低(4.4)|1号艇展示5位(最下位圏)|超荒れ(9.5),0.9462,1-6-2,0.08749,3.937,45.0,9.5,3.0,横,2,4-3-6,4550,0,-1300,2,1300,,,,,,,,
20260703,浜名湖,6,10,1,モンスター型,追い風3m|モンスター6号艇|6号艇展示1位|超荒れ(9.5),0.99,6-1-5,0.10255,4.768,46.5,9.5,3.0,追,1,1-2-4,600,0,-1600,3,1600,,,,,,,,
20260703,蒲郡,7,1,0,モンスター型,1号艇ST遅れ0.18|超荒れ(9.5),0.8972,1-3-6,0.07347,3.747,51.0,9.5,3.0,横,1,4-6-2,5640,0,-600,2,600,,,,,,,,
20260703,蒲郡,7,4,0,モンスター型,追い風3m|1号艇展示6位(最下位圏)|超荒れ(8.6),0.8766,1-6-4,0.07287,4.919,67.5,8.577,3.0,追,1,2-3-4,5170,0,-600,2,600,,,,,,,,
20260703,蒲郡,7,6,0,イン逃げ型,1号艇ST大幅遅れ0.24|1号艇勝率低(3.6)|1号艇モーター6位|1号艇展示1位|超荒れ(9.5),0.99,1-6-4,0.10449,6.405,61.3,9.5,4.0,横,2,3-5-1,2530,0,-1300,2,1300,,,,,,,,
20260703,蒲郡,7,7,0,1残り荒れ型,追い風3m|1号艇ST大幅遅れ0.21|1号艇勝率低(3.1)|1号艇モーター6位|超荒れ(9.5),0.8918,1-3-6,0.07195,4.446,61.8,9.5,3.0,追,1,3-2-6,1210,0,-600,2,600,,,,,,,,
